ACCIDENT,
Column Input,Meaning/ Description/ Defination of Variables
Date format,Date.Month.year
Time,24hrs system
Local Authority District,Annex 6- Assigns a code for every district
local_authority_ons_district,Annex 7- Local Authorities
1st Road Class,"1-Motorway
2- Motorways
3- Class A
4- Class B
5- Class C
6- Unclassified"
ROAD NUMBER,Unique identifier of every road
road_type,"1-Roundabout
2-One way street
3-Dual carriageway
6-Single carriageway
7-Slip Road
9- Unknown"
junction_detail,"00-Not at or within 20 metres of junction
01-Roundabout
02-Mini roundabout
03-T or staggered junction
05-Slip road
06-Crossroads
07-Junction – more than 4 arms (not a roundabout)
08-Using private drive or entrance
09-Other junction"
junction_control (Chracterises the traffic control measures in a junction),"1-Authorised person
2-Automatic traffic signal
3-Stop sign
4-Give way or uncontrolled"
second_road_class,NA
second_road_number,NA
pedestrian_crossing_human_control,"0-None within 50 metres
1-Control by school crossing patrol
2-Control by other authorised person"
pedestrian_crossing_physical_facilities,"0- No physical crossing facility within 50 metres
1-Zebra crossing
4-Pelican, puffin, toucan or similar non-junction pedestrian light crossing
5-Pedestrian phase at traffic signal junction
7-Footbridge or subway
8-Central refuge - no other controls"
light_conditions,"1. Daylight
4.Darkness: street lights present and lit
5.Darkness: street lights present but unlit
6.Darkness: no street lighting
7.Darkness: street lighting unknown"
weather_conditions,"1.Fine without high winds
2.Raining without high winds
3.Snowing without high winds
4.Fine with high winds
5.Raining with high winds
6.Snowing with high winds
7.Fog or mist - if hazard
8.Other
9.Unknown"
Road Surface Condition,"1.Dry
2.Wet/Damp
3.Snow
4.Frost/Ice
5.Flood (surface water over 3cm deep)"
Special Conditions,"0.None
1.Automatic traffic signal out
2.Automatic traffic signal partially defective
3.Permanent road signing or marking defective or obscured
4.Roadworks
5.Road surface defective
6.Oil or diesel
7.Mud"
carriageway_hazards,"0. None
1.Dislodged vehicle load in carriageway
2.Other object in carriageway
3.Involvement with previous accident
6.Pedestrian in carriageway - not injured
7.Any animal in carriageway (except ridden horse)"
Urban_or_rural_area,"1- urban, 2- rural"
did_police_officer_attend_scene_of_accident,"1.Yes
2.No
3.No – Accident details completed by member of the public using “self reporting” form"
,
Vehicle related details,
vehicle_reference,Vehicle number In an accident
vehicle_type,"01. Pedal cycle 
02. Motorcycle 50cc and under 
03. Motorcycle over 50cc and up to 125cc 
04. Motorcycle over 125cc and up to 500cc 
05. Motorcycle over 500cc 
97. Motorcycle – unknown cc 
23. Electric motorcycle 
08. Taxi/Private hire car 
09. Car 
10. Minibus (8 - 16 passenger seats) 
11. Bus or coach (17 or more passenger seats) 
16. Ridden horse 
17. Agricultural vehicle (includes diggers etc.) 
18. Tram/Lig ht rail 
19. Van/Goods vehicle 3.5 tonnes maximum gross weight (mgw) and under 
20. Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw 
21. Goods vehicle 7.5 tonnes mgw and over 
98. Goods vehicle – unknown weight 
22. Mobility scooter 
90. Other vehicle"
towing_and_articulation,"0.No tow or articulation
1.Articulated vehicle
2.Double or multiple trailer
3.Caravan
4.Single trailer
5.Other tow"
